,文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,sub_class
0,2,0.363199519,0.0,0.010511563,0.023425768,0.011812994,0.057363099,0.018620483,0.002602863,0.474822305,0.0,0.035739313,0.001902092,0.0,0.0,1
1,8,0.201763174,0.0,0.0,0.014826688,0.0,0.013424163,0.0,0.104287718,0.287317171,0.312863154,0.035964737,0.003706672,0.0,0.025846524,0
2,08严重风化点,0.046925896,0.0,0.0,0.032471498,0.0,0.01129886,0.0,0.031962541,0.330313518,0.311685668,0.076954397,0.005394951,0.0,0.152992671,0
3,11,0.352133347,0.0,0.002201489,0.03679631,0.007443128,0.028200021,0.0,0.051682566,0.266170458,0.153160709,0.098333159,0.003878813,0.0,0.0,1
4,19,0.300121507,0.0,0.0,0.029667882,0.005974079,0.036148238,0.013466991,0.035540705,0.433576347,0.054171729,0.089408667,0.001923856,0.0,0.0,1
5,26,0.198256862,0.0,0.0,0.014425967,0.0,0.007012623,0.0,0.105890603,0.295832498,0.323081547,0.031356442,0.004508115,0.0,0.019635344,0
6,26严重风化点,0.037240965,0.0,0.004004405,0.030133146,0.0,0.011812994,0.0,0.036039644,0.299529482,0.354890379,0.060466513,0.006206828,0.0,0.159675643,0
7,34,0.366899098,0.0,0.002563577,0.007998359,0.0,0.016611977,0.004819524,0.015484003,0.477337982,0.102543068,0.003486464,0.002255947,0.0,0.0,1
8,36,0.405305746,0.022738912,0.001433985,0.003789819,0.0,0.016388405,0.003277681,0.006965072,0.426200963,0.110929018,0.000716993,0.002253406,0.0,0.0,1
9,38,0.334077305,0.014000203,0.0,0.006898651,0.0,0.026072842,0.002942072,0.007405904,0.500253627,0.09932028,0.004869636,0.004159481,0.0,0.0,1
10,39,0.265795869,0.0,0.0,0.011239368,0.0,0.005062778,0.0,0.00891049,0.617962738,0.073106521,0.011745646,0.00617659,0.0,0.0,1
11,40,0.169524196,0.0,0.0,0.018971289,0.0,0.004565284,0.001927564,0.0,0.712285685,0.067870549,0.017956782,0.006898651,0.0,0.0,1
12,41,0.196990716,0.0,0.004695337,0.05292925,0.02913243,0.035535162,0.019101483,0.002027532,0.470814214,0.104151104,0.079607299,0.005015473,0.0,0.0,1
13,43部位1,0.131073088,0.0,0.0,0.055344318,0.009400084,0.023764259,0.008027038,0.056506126,0.632129278,0.076996198,0.0,0.006759611,0.0,0.0,1
14,43部位2,0.224475018,0.0,0.0,0.066204614,0.009827247,0.035274646,0.014378815,0.015620151,0.462915072,0.033722975,0.132719561,0.004861901,0.0,0.0,1
15,48,0.537763437,0.008066956,0.003226782,0.028436019,0.01552889,0.137642432,0.010386206,0.0,0.158414843,0.073711808,0.011092064,0.002520924,0.01320964,0.0,1
16,49,0.301465969,0.0,0.0,0.047958115,0.01539267,0.056335079,0.028691099,0.007329843,0.357905759,0.063874346,0.116230366,0.004816754,0.0,0.0,1
17,50,0.199401131,0.0,0.0,0.03537762,0.005212377,0.020738605,0.003659754,0.012531884,0.487967173,0.157480315,0.070311634,0.007319508,0.0,0.0,1
18,51部位1,0.25815588,0.0,0.0,0.037553761,0.012482954,0.055071856,0.012482954,0.014371132,0.422112661,0.093779503,0.084968006,0.004091052,0.004930242,0.0,1
19,51部位2,0.232824427,0.0,0.0,0.055943293,0.015812432,0.027371865,0.004580153,0.008178844,0.559869138,0.0,0.095419847,0.0,0.0,0.0,1
20,52,0.273596939,0.012967687,0.0,0.024128401,0.005846088,0.012329932,0.002444728,0.007440476,0.504039116,0.091836735,0.060693027,0.004676871,0.0,0.0,1
21,54,0.223537674,0.0,0.003210595,0.032005619,0.01284238,0.041637403,0.0,0.008327481,0.55643624,0.070633089,0.042540383,0.008829136,0.0,0.0,1
22,54严重风化点,0.17653735,0.0,0.0,0.0,0.011452745,0.037659926,0.0,0.013825836,0.603177879,0.0,0.145790343,0.011555922,0.0,0.0,1
23,56,0.316023417,0.0,0.0,0.013117953,0.0,0.020056375,0.0,0.008564614,0.447202949,0.167497832,0.02753686,0.0,0.0,0.0,1
24,57,0.274899968,0.0,0.0,0.014166757,0.0,0.023575214,0.0,0.012544609,0.487725749,0.187087704,0.0,0.0,0.0,0.0,1
25,58,0.307715674,0.0,0.003442689,0.035338194,0.00799919,0.03564196,0.008707979,0.031692993,0.398440664,0.077561766,0.091028757,0.002430134,0.0,0.0,1
